changeslow, A=16
0,16.7849559784
1,16.9844090939
2,11.2148039341
3,5.21551895142
4,2.24976015091
5,0.93282699585
6,0.37069606781
7,0.143921136856
8,0.055771112442
9,0.021467924118
10,0.00808215141296
11,0.00301504135132
12,0.00114297866821
13,0.000462055206299
14,0.000182151794434
15,0.000102996826172
16,6.91413879395e-06
17,8.10623168945e-06
18,6.91413879395e-06
