change dp, A [100, 300], V2=[1,6,13,37,15]
(8, [4, 0, 2, 1, 1]),0.000286102294922
(9, [5, 0, 2, 1, 1]),0.000288009643555
(5, [0, 1, 2, 1, 1]),0.000294923782349
(6, [1, 1, 2, 1, 1]),0.000297069549561
(7, [2, 1, 2, 1, 1]),0.000303030014038
(8, [3, 1, 2, 1, 1]),0.000294923782349
(9, [4, 1, 2, 1, 1]),0.000293970108032
(3, [0, 0, 0, 2, 1]),0.000296115875244
(4, [1, 0, 0, 2, 1]),0.000303983688354
(5, [2, 0, 0, 2, 1]),0.000298023223877
(6, [3, 0, 0, 2, 1]),0.000349044799805
(7, [4, 0, 0, 2, 1]),0.000310897827148
(8, [5, 0, 0, 2, 1]),0.000305891036987
(4, [0, 1, 0, 2, 1]),0.000309944152832
(5, [1, 1, 0, 2, 1]),0.000308036804199
(6, [2, 1, 0, 2, 1]),0.000307083129883
(7, [3, 1, 0, 2, 1]),0.000310897827148
(8, [4, 1, 0, 2, 1]),0.000317811965942
(9, [5, 1, 0, 2, 1]),0.000325918197632
(5, [0, 2, 0, 2, 1]),0.000313997268677
(4, [0, 0, 1, 2, 1]),0.000316858291626
(5, [1, 0, 1, 2, 1]),0.000316143035889
(6, [2, 0, 1, 2, 1]),0.000327110290527
(7, [3, 0, 1, 2, 1]),0.000322103500366
(8, [4, 0, 1, 2, 1]),0.000322103500366
(9, [5, 0, 1, 2, 1]),0.000322818756104
(5, [0, 1, 1, 2, 1]),0.000326156616211
(6, [1, 1, 1, 2, 1]),0.000327825546265
(7, [2, 1, 1, 2, 1]),0.00032901763916
(8, [3, 1, 1, 2, 1]),0.000336885452271
(9, [4, 1, 1, 2, 1]),0.00032901763916
(10, [5, 1, 1, 2, 1]),0.000332832336426
(6, [0, 2, 1, 2, 1]),0.000334978103638
(5, [0, 0, 2, 2, 1]),0.000339984893799
(6, [1, 0, 2, 2, 1]),0.000337839126587
(7, [2, 0, 2, 2, 1]),0.000339031219482
(8, [3, 0, 2, 2, 1]),0.000348091125488
(9, [4, 0, 2, 2, 1]),0.000342130661011
(10, [5, 0, 2, 2, 1]),0.000342845916748
(6, [0, 1, 2, 2, 1]),0.00034499168396
(7, [1, 1, 2, 2, 1]),0.000348091125488
(8, [2, 1, 2, 2, 1]),0.000349044799805
(9, [3, 1, 2, 2, 1]),0.000355005264282
(10, [4, 1, 2, 2, 1]),0.000355958938599
(4, [0, 0, 0, 3, 1]),0.00035285949707
