changegreedy, A=2000
596,0.0028760433197
598,0.00300288200378
600,0.0023729801178
602,0.00303602218628
604,0.00301909446716
606,0.00247693061829
608,0.00313711166382
610,0.00319218635559
612,0.00314903259277
614,0.00261116027832
616,0.00330591201782
618,0.0033278465271
620,0.00332689285278
622,0.00279188156128
624,0.00340390205383
626,0.00281596183777
628,0.00351214408875
630,0.00284504890442
632,0.00354599952698
634,0.00289797782898
636,0.00373387336731
638,0.00295615196228
640,0.0036518573761
642,0.00304985046387
644,0.00381708145142
646,0.00306510925293
648,0.00378203392029
650,0.00311017036438
652,0.0038058757782
654,0.00318622589111
656,0.00317001342773
658,0.00326490402222
660,0.00322484970093
662,0.00325608253479
664,0.00323700904846
666,0.00332188606262
668,0.00330400466919
670,0.00333094596863
672,0.00331401824951
674,0.00337910652161
676,0.00336503982544
678,0.00339102745056
680,0.00338888168335
682,0.00344800949097
684,0.00344514846802
686,0.00350403785706
688,0.00345993041992
690,0.00353598594666
692,0.00354599952698
694,0.00357007980347
696,0.00353908538818
698,0.0036289691925
700,0.00363183021545
702,0.00361800193787
704,0.00364398956299
706,0.0036609172821
708,0.00365805625916
710,0.00373196601868
712,0.00371789932251
714,0.00376415252686
716,0.00375509262085
718,0.00380301475525
720,0.00384712219238
722,0.00382614135742
724,0.00384712219238
726,0.00385499000549
728,0.00387001037598
730,0.00393199920654
732,0.00392985343933
734,0.00393795967102
736,0.00395393371582
738,0.0040488243103
740,0.00399899482727
742,0.00402808189392
744,0.00405597686768
746,0.00407791137695
748,0.00408697128296
750,0.00500583648682
752,0.0042040348053
754,0.00423407554626
756,0.00415802001953
758,0.00424098968506
760,0.00425910949707
762,0.00431489944458
764,0.0043261051178
766,0.00435590744019
768,0.00685906410217
770,0.00436091423035
772,0.00434899330139
774,0.00440812110901
776,0.00440788269043
778,0.00446200370789
780,0.00446200370789
782,0.00451183319092
784,0.00714087486267
786,0.0045440196991
788,0.00450086593628
790,0.00457811355591
792,0.00458312034607
794,0.00551700592041
796,0.00466299057007
798,0.00465512275696
800,0.00555205345154
802,0.00470280647278
804,0.00560784339905
806,0.00560188293457
808,0.00562500953674
810,0.00569295883179
812,0.00580096244812
814,0.00483202934265
816,0.00484108924866
818,0.0057520866394
820,0.00576901435852
822,0.00496697425842
824,0.00806188583374
826,0.0049889087677
828,0.00497889518738
830,0.00501179695129
832,0.00500392913818
834,0.00507807731628
836,0.00506281852722
838,0.00510406494141
840,0.0074200630188
842,0.00516486167908
844,0.0051429271698
846,0.00521492958069
848,0.00522184371948
850,0.00524306297302
852,0.00524997711182
854,0.00533103942871
856,0.0052809715271
858,0.00538802146912
860,0.00532793998718
862,0.00543308258057
864,0.00537991523743
866,0.00542902946472
868,0.00545001029968
870,0.00545716285706
872,0.00551319122314
874,0.00553488731384
876,0.00552010536194
878,0.00557088851929
880,0.0083179473877
882,0.00562500953674
884,0.00562000274658
886,0.00796008110046
888,0.00569915771484
890,0.00571298599243
892,0.00887989997864
894,0.00907492637634
896,0.00583100318909
898,0.00582194328308
900,0.00581812858582
902,0.00593090057373
904,0.00587391853333
906,0.00605392456055
908,0.00592303276062
910,0.00602698326111
912,0.00597095489502
914,0.00601387023926
916,0.00601601600647
918,0.00712394714355
920,0.00612497329712
922,0.00610399246216
924,0.0097541809082
926,0.00974988937378
928,0.00621104240417
930,0.00618195533752
932,0.0062940120697
934,0.00628995895386
936,0.00628399848938
938,0.006432056427
940,0.0063579082489
942,0.00644111633301
944,0.00640606880188
946,0.00644493103027
948,0.00647807121277
950,0.00660300254822
952,0.0065438747406
954,0.00656199455261
956,0.00753998756409
958,0.00670599937439
960,0.00672507286072
962,0.00772285461426
964,0.00670695304871
966,0.00663685798645
968,0.00670599937439
970,0.00689101219177
972,0.00760722160339
974,0.00685906410217
976,0.00682902336121
978,0.00691699981689
980,0.00690984725952
982,0.00688695907593
984,0.0068781375885
986,0.00704002380371
988,0.0079460144043
990,0.00710201263428
992,0.00700902938843
994,0.0070378780365
996,0.00714612007141
998,0.00711107254028
