change dp, A [100, 300], V1=[1,2,6,12,24,48,60]
(5, [0, 2, 0, 1, 1, 0, 1]),0.000188112258911
(6, [1, 2, 0, 1, 1, 0, 1]),0.000192880630493
(4, [0, 0, 1, 1, 1, 0, 1]),0.000189065933228
(5, [1, 0, 1, 1, 1, 0, 1]),0.00019097328186
(5, [0, 1, 1, 1, 1, 0, 1]),0.000198841094971
(6, [1, 1, 1, 1, 1, 0, 1]),0.000202178955078
(6, [0, 2, 1, 1, 1, 0, 1]),0.000197887420654
(7, [1, 2, 1, 1, 1, 0, 1]),0.000207901000977
(2, [0, 0, 0, 0, 0, 1, 1]),0.000205993652344
(3, [1, 0, 0, 0, 0, 1, 1]),0.000202894210815
(3, [0, 1, 0, 0, 0, 1, 1]),0.000205993652344
(4, [1, 1, 0, 0, 0, 1, 1]),0.000207901000977
(4, [0, 2, 0, 0, 0, 1, 1]),0.000209093093872
(5, [1, 2, 0, 0, 0, 1, 1]),0.000211000442505
(3, [0, 0, 1, 0, 0, 1, 1]),0.000214099884033
(4, [1, 0, 1, 0, 0, 1, 1]),0.000216007232666
(4, [0, 1, 1, 0, 0, 1, 1]),0.000219106674194
(5, [1, 1, 1, 0, 0, 1, 1]),0.000219821929932
(5, [0, 2, 1, 0, 0, 1, 1]),0.000262975692749
(6, [1, 2, 1, 0, 0, 1, 1]),0.000272989273071
(2, [0, 0, 0, 0, 0, 0, 2]),0.000267028808594
(3, [1, 0, 0, 0, 0, 0, 2]),0.000270128250122
(3, [0, 1, 0, 0, 0, 0, 2]),0.000272989273071
(4, [1, 1, 0, 0, 0, 0, 2]),0.0002760887146
(4, [0, 2, 0, 0, 0, 0, 2]),0.00028395652771
(5, [1, 2, 0, 0, 0, 0, 2]),0.000281095504761
(3, [0, 0, 1, 0, 0, 0, 2]),0.000283002853394
(4, [1, 0, 1, 0, 0, 0, 2]),0.00029182434082
(4, [0, 1, 1, 0, 0, 0, 2]),0.000298976898193
(5, [1, 1, 1, 0, 0, 0, 2]),0.000291109085083
(5, [0, 2, 1, 0, 0, 0, 2]),0.000303030014038
(6, [1, 2, 1, 0, 0, 0, 2]),0.000296831130981
