changedb, A=2000
30,0.022164106369
32,0.0162649154663
34,0.0171020030975
36,0.0216109752655
38,0.0220189094543
40,0.0265548229218
42,0.0208201408386
44,0.0216360092163
46,0.0225100517273
48,0.0235199928284
50,0.0245490074158
52,0.0257110595703
54,0.0265188217163
56,0.0279688835144
58,0.0291838645935
60,0.0294890403748
62,0.031035900116
64,0.0320570468903
66,0.0329699516296
68,0.0334720611572
70,0.0349388122559
72,0.0357840061188
74,0.0367069244385
76,0.0390810966492
78,0.0388309955597
80,0.039577960968
82,0.0404810905457
84,0.0478780269623
86,0.0425047874451
88,0.043557882309
90,0.0447368621826
92,0.0457048416138
94,0.0483419895172
96,0.0532190799713
98,0.0487420558929
100,0.0584621429443
102,0.0505759716034
104,0.0516061782837
106,0.0528209209442
108,0.0535418987274
110,0.054328918457
112,0.0602560043335
114,0.0633149147034
116,0.057391166687
118,0.065288066864
120,0.0596790313721
122,0.0609250068665
124,0.061959028244
126,0.0637121200562
128,0.0645589828491
130,0.0644209384918
132,0.0657799243927
134,0.0674760341644
136,0.0745179653168
138,0.0699379444122
140,0.069452047348
142,0.0706670284271
144,0.071417093277
146,0.0724909305573
148,0.0742390155792
150,0.07555103302
152,0.0841681957245
154,0.0815360546112
156,0.0853929519653
158,0.0890140533447
160,0.0868589878082
162,0.083340883255
164,0.0872988700867
166,0.0902030467987
168,0.0863800048828
170,0.0852239131927
172,0.0872020721436
174,0.0867629051208
176,0.0897440910339
178,0.0920920372009
180,0.0896739959717
182,0.089910030365
184,0.0908560752869
186,0.0912690162659
188,0.0926549434662
190,0.0998229980469
192,0.0997409820557
194,0.10139298439
196,0.0971229076385
198,0.0976569652557
200,0.098582983017
202,0.102048873901
204,0.104418039322
206,0.101629018784
208,0.102735996246
210,0.103554964066
212,0.106454849243
214,0.105248212814
216,0.119214057922
218,0.107532024384
220,0.113824129105
222,0.115196943283
224,0.116353034973
226,0.115107059479
228,0.115065097809
230,0.113574981689
232,0.115660905838
234,0.118769884109
236,0.117552995682
238,0.119983911514
240,0.118148088455
242,0.119087934494
244,0.120002031326
246,0.121128082275
248,0.121951818466
250,0.123065948486
252,0.123842000961
254,0.124910116196
256,0.125827074051
258,0.126332998276
260,0.13179898262
262,0.129292964935
264,0.129862070084
266,0.134482860565
268,0.137274026871
270,0.132505893707
272,0.135493040085
274,0.13933300972
276,0.144487857819
278,0.146781921387
280,0.137989997864
282,0.137969970703
284,0.144035100937
286,0.143578052521
288,0.141494035721
290,0.142477989197
292,0.146337985992
294,0.156628847122
296,0.145372867584
298,0.146245956421
300,0.147365093231
302,0.149105072021
304,0.149947881699
306,0.150128126144
308,0.150847196579
310,0.152284145355
312,0.15256690979
314,0.153654813766
316,0.155707120895
318,0.158761978149
320,0.156558036804
322,0.165369033813
324,0.161930799484
326,0.163094043732
328,0.159698009491
330,0.160811185837
332,0.161267995834
334,0.162757873535
336,0.163105964661
338,0.168694019318
340,0.165122032166
342,0.165877103806
344,0.166630029678
346,0.168380975723
348,0.168791770935
350,0.170818090439
352,0.171473026276
354,0.171621084213
356,0.172538042068
358,0.177500963211
360,0.180638074875
362,0.176988124847
364,0.175690889359
366,0.178178071976
368,0.17797088623
370,0.179999828339
372,0.181514978409
374,0.1820499897
376,0.182615995407
378,0.189076900482
380,0.183704137802
382,0.184652090073
384,0.187340974808
386,0.186897039413
388,0.188179016113
390,0.19337105751
392,0.188899993896
394,0.191570997238
396,0.190722942352
398,0.193250894547
400,0.193238973618
402,0.194197893143
404,0.195043802261
406,0.196114063263
408,0.197865009308
410,0.197537899017
412,0.198621034622
414,0.200345993042
416,0.200451850891
418,0.202078104019
420,0.202033996582
422,0.203606128693
424,0.209105014801
426,0.204951047897
428,0.208216905594
430,0.207973003387
432,0.207628965378
434,0.209012031555
436,0.208935976028
438,0.21092915535
440,0.210829019547
442,0.212560176849
444,0.212430000305
446,0.214323997498
448,0.214924097061
450,0.221779823303
452,0.216436862946
454,0.218555927277
456,0.224478006363
458,0.22477388382
460,0.220272064209
462,0.221661090851
464,0.222239017487
466,0.223474979401
468,0.228547096252
470,0.225626945496
472,0.226044893265
474,0.226778030396
476,0.227388858795
478,0.229140996933
480,0.229076862335
482,0.230273962021
484,0.23157286644
486,0.232142925262
488,0.239175081253
490,0.239058971405
492,0.238784074783
494,0.236082077026
496,0.237154006958
498,0.237793207169
500,0.23893904686
502,0.239425182343
504,0.240360021591
506,0.241616010666
508,0.241629123688
510,0.242645978928
512,0.246073961258
514,0.248007059097
516,0.245303869247
518,0.246588945389
520,0.259438991547
522,0.254764080048
524,0.254469156265
526,0.249884128571
528,0.250946044922
530,0.252238988876
532,0.252233982086
534,0.253585100174
536,0.254536151886
538,0.255284070969
540,0.255438089371
542,0.257508993149
544,0.257568120956
546,0.267671108246
548,0.260093927383
550,0.260643959045
552,0.261375188828
554,0.269533157349
556,0.272930145264
558,0.26606297493
560,0.267789840698
562,0.266155004501
564,0.267918109894
566,0.26850605011
568,0.268775939941
570,0.269895076752
572,0.272383928299
574,0.272279977798
576,0.273814201355
578,0.274540901184
580,0.276737928391
582,0.278599977493
584,0.284470081329
586,0.284883975983
588,0.278727054596
590,0.279588937759
592,0.279639005661
594,0.280428886414
596,0.281641960144
598,0.288280010223
600,0.284164905548
602,0.28418302536
604,0.286967039108
606,0.285481929779
608,0.287075996399
610,0.288163900375
612,0.289651155472
614,0.289196014404
616,0.291285037994
618,0.298461198807
620,0.293987989426
622,0.296787023544
624,0.295351982117
626,0.295383214951
628,0.296713113785
630,0.301039934158
632,0.299152135849
