change dp, A [10000, 10201], V2=[1,6,13,37,150]
(75, [5, 0, 2, 1, 67]),0.0166599750519
(71, [0, 1, 2, 1, 67]),0.0156919956207
(72, [1, 1, 2, 1, 67]),0.015725851059
(73, [2, 1, 2, 1, 67]),0.015702009201
(74, [3, 1, 2, 1, 67]),0.015722990036
(75, [4, 1, 2, 1, 67]),0.0156948566437
(69, [0, 0, 0, 2, 67]),0.0157008171082
(70, [1, 0, 0, 2, 67]),0.0157029628754
(71, [2, 0, 0, 2, 67]),0.0157480239868
(72, [3, 0, 0, 2, 67]),0.0157079696655
(73, [4, 0, 0, 2, 67]),0.0157217979431
(74, [5, 0, 0, 2, 67]),0.0157051086426
(70, [0, 1, 0, 2, 67]),0.0180420875549
(71, [1, 1, 0, 2, 67]),0.0157330036163
(72, [2, 1, 0, 2, 67]),0.0157008171082
(73, [3, 1, 0, 2, 67]),0.0157248973846
(74, [4, 1, 0, 2, 67]),0.015734910965
(75, [5, 1, 0, 2, 67]),0.0156979560852
(71, [0, 2, 0, 2, 67]),0.0157210826874
(70, [0, 0, 1, 2, 67]),0.0157170295715
(71, [1, 0, 1, 2, 67]),0.0157120227814
(72, [2, 0, 1, 2, 67]),0.0157270431519
(73, [3, 0, 1, 2, 67]),0.0157511234283
(74, [4, 0, 1, 2, 67]),0.0157370567322
(75, [5, 0, 1, 2, 67]),0.0157289505005
(71, [0, 1, 1, 2, 67]),0.0157492160797
(72, [1, 1, 1, 2, 67]),0.0157577991486
(73, [2, 1, 1, 2, 67]),0.015734910965
(74, [3, 1, 1, 2, 67]),0.0157480239868
(75, [4, 1, 1, 2, 67]),0.0157399177551
(76, [5, 1, 1, 2, 67]),0.0157480239868
(72, [0, 2, 1, 2, 67]),0.0224289894104
(71, [0, 0, 2, 2, 67]),0.0157279968262
(72, [1, 0, 2, 2, 67]),0.0157520771027
(73, [2, 0, 2, 2, 67]),0.0157420635223
(74, [3, 0, 2, 2, 67]),0.0157639980316
(75, [4, 0, 2, 2, 67]),0.0177409648895
(76, [5, 0, 2, 2, 67]),0.0158050060272
(72, [0, 1, 2, 2, 67]),0.0162391662598
(73, [1, 1, 2, 2, 67]),0.0186100006104
(74, [2, 1, 2, 2, 67]),0.0157840251923
(75, [3, 1, 2, 2, 67]),0.0157830715179
(76, [4, 1, 2, 2, 67]),0.0158221721649
(70, [0, 0, 0, 3, 67]),0.0157659053802
(71, [1, 0, 0, 3, 67]),0.0158169269562
(72, [2, 0, 0, 3, 67]),0.0158169269562
(73, [3, 0, 0, 3, 67]),0.0157771110535
(74, [4, 0, 0, 3, 67]),0.0157909393311
(75, [5, 0, 0, 3, 67]),0.0157799720764
(71, [0, 1, 0, 3, 67]),0.0157668590546
(72, [1, 1, 0, 3, 67]),0.0157949924469
(73, [2, 1, 0, 3, 67]),0.0198650360107
(74, [3, 1, 0, 3, 67]),0.0157980918884
(75, [4, 1, 0, 3, 67]),0.0157840251923
(76, [5, 1, 0, 3, 67]),0.0157768726349
(72, [0, 2, 0, 3, 67]),0.015793800354
(71, [0, 0, 1, 3, 67]),0.0170900821686
(72, [1, 0, 1, 3, 67]),0.0160479545593
(73, [2, 0, 1, 3, 67]),0.0159318447113
(74, [3, 0, 1, 3, 67]),0.0158770084381
(75, [4, 0, 1, 3, 67]),0.0161321163177
(76, [5, 0, 1, 3, 67]),0.0158760547638
(72, [0, 1, 1, 3, 67]),0.0158669948578
