changeslow, A [1, 100]
1,8.10623168945e-06
1,9.05990600586e-06
2,2.50339508057e-05
1,7.15255737305e-06
2,6.38961791992e-05
1,7.15255737305e-06
2,0.000163078308105
1,7.15255737305e-06
2,0.000473976135254
1,8.10623168945e-06
2,0.00135588645935
1,6.91413879395e-06
2,0.00486397743225
1,8.10623168945e-06
2,0.0142168998718
1,8.10623168945e-06
2,0.0424189567566
1,9.05990600586e-06
2,0.105226993561
1,7.86781311035e-06
2,0.247036218643
1,8.10623168945e-06
2,0.715356111526
1,8.10623168945e-06
2,2.19786715508
1,6.91413879395e-06
2,6.45828700066
1,7.15255737305e-06
2,19.4069340229
1,6.91413879395e-06
2,58.9234018326
2,175.787319183
3,530.802165985
2,1609.84496403
